transaction_id,user_id,transaction_time,amount,payment_method,month
6001,1008,2023-08-21,8.7,PayPal,July
6002,1079,2024-08-25,44.12,Credit Card,July
6003,1095,2023-11-06,35.16,PayPal,July
6004,1094,2023-05-28,26.02,Credit Card,July
6005,1020,2023-09-01,20.72,PayPal,July
6006,1053,2023-06-08,17.88,Credit Card,July
6007,1012,2023-07-04,10.48,Credit Card,July
6008,1049,2024-10-01,20.77,PayPal,July
6009,1017,2023-09-25,22.58,Credit Card,July
6010,1064,2024-03-31,7.58,PayPal,July
6011,1042,2024-06-17,23.34,PayPal,July
6012,1094,2023-08-29,18.45,Credit Card,July
6013,1029,2024-04-17,0.92,PayPal,July
6014,1019,2023-08-19,11.4,Credit Card,July
6015,1011,2023-08-01,15.86,Credit Card,July
6016,1098,2024-03-14,38.88,Credit Card,July
6017,1050,2024-05-20,25.57,Credit Card,July
6018,1071,2024-10-25,6.65,Credit Card,July
6019,1058,2024-04-22,24.86,Credit Card,July
6020,1034,2024-03-27,4.53,Credit Card,July
6021,1020,2023-08-23,30.83,Credit Card,July
6022,1050,2024-01-16,15.29,PayPal,July
6023,1088,2023-10-07,19.06,PayPal,July
6024,1010,2024-06-06,33.26,Credit Card,July
6025,1032,2024-02-13,7.13,PayPal,July
6026,1052,2023-04-13,6.03,PayPal,July
6027,1015,2023-12-12,14.16,PayPal,July
6028,1084,2024-10-02,30.38,PayPal,July
6029,1003,2023-05-04,4.81,PayPal,July
6030,1037,2024-07-24,-8.32,PayPal,July
6031,1040,2024-09-13,15.49,Credit Card,July
6032,1072,2023-09-24,25.52,PayPal,July
6033,1040,2023-12-29,32.0,PayPal,July
6034,1056,2024-07-20,15.37,PayPal,July
6035,1023,2023-08-23,15.89,PayPal,July
6036,1011,2024-10-11,31.54,Credit Card,July
6037,1064,2023-05-25,1.3,Credit Card,July
6038,1008,2023-11-29,16.11,Credit Card,July
6039,1093,2024-03-04,21.9,Credit Card,July
6040,1094,2024-03-19,24.49,PayPal,July
6041,1056,2024-04-12,14.9,Credit Card,July
6042,1060,2023-06-09,20.34,Credit Card,July
6043,1010,2023-10-09,-4.88,Credit Card,July
6044,1039,2024-04-22,13.42,Credit Card,July
6045,1028,2024-05-28,24.54,PayPal,July
6046,1049,2023-07-10,10.18,Credit Card,July
